pH;pH_is;potential_temp;practical_salinity;sigma0;sigma4;depth;d13C;DIC;Alk;AOU;Omegaca;Omegapca;Omegaca_dic;Omegacap_dic;phosphate;nitrate;silicate;station;lat;long
7.5774;7.727;1.101695417;34.69;27.65927338;45.68652347;4677.31;-0.108;2317.085;2428.275;210.1685674;2.166258506;0.671400943;2.431688381;0.767099046;2.379430357;36.76811811;146.51;1;22.75;157.9833333
7.5727;7.7277;1.116426269;34.689;27.65747763;45.68630288;4531.92;0;2324.489;2429.78;212.4811541;2.146353878;0.685140897;2.357599454;0.763608249;-999;-999;-999;1;22.75;157.9833333
7.5706;7.742;1.125247176;34.688;27.65608041;45.692429;4143.344;-0.061;2320.921;2422.533;213.7419317;2.130413721;0.73832062;2.306514903;0.809181831;2.456915199;37.12509014;149.77;1;22.75;157.9833333
7.5602;7.7518;1.174746918;34.684;27.64950968;45.69081677;3626.29;-0.093;2330.137;2422.626;218.7472252;2.0843753;0.80548516;2.193938666;0.854598761;-999;-999;-999;1;22.75;157.9833333
7.5328;7.7446;1.329313168;34.67;27.62759018;45.66304219;3014.211;-0.135;2347.583;2428.052;231.3209176;1.971543265;0.865168628;2.053895161;0.907193087;2.653855839;38.05321739;156.27;1;22.75;157.9833333
7.5137;7.7343;1.454556109;34.66;27.61068536;45.6377046;2699.194;-0.175;2348.968;2431.046;239.2022162;1.895538767;0.887613914;2.074976931;0.985618874;-999;-999;-999;1;22.75;157.9833333
7.4982;7.7271;1.620891928;34.647;27.58815836;45.60190373;2395.069;-0.311;2353.599;2422.535;244.8234276;1.827329587;0.912667958;1.917976415;0.965457301;2.608656348;37.83903418;154.46;1;22.75;157.9833333
7.4768;7.7114;1.869194761;34.628;27.55422072;45.54556656;2100.091;-0.302;2354.335;2419.137;252.5049022;1.74296231;0.925866457;1.869848556;1.00460217;-999;-999;-999;1;22.75;157.9833333
-999;-999;2.230857354;34.604;27.50636522;45.46329232;1800.407;-0.359;2357.051;2415.08;260.7831832;-999;-999;1.793495615;1.028358738;3.018680304;41.97990961;143.42;1;22.75;157.9833333
7.4308;7.6696;2.559731955;34.577;27.45735333;45.38252879;1598.8;-0.35;2356.183;2402.319;268.3309985;1.567179309;0.92415282;1.66073644;0.988617153;-999;-999;-999;1;22.75;157.9833333
-999;-999;2.649141415;34.571;27.44486961;45.36239222;1486.261;-999;-999;-999;269.2727113;-999;-999;-999;-999;-999;-999;-999;1;22.75;157.9833333
-999;-999;2.649205447;34.571;27.44486405;45.36239222;1485.448;-999;-999;-999;269.2231839;-999;-999;-999;-999;-999;-999;-999;1;22.75;157.9833333
7.4101;7.6477;3.001385983;34.552;27.39843596;45.28020997;1400.393;-0.305;2353.161;2393.478;274.3427644;1.492757416;0.918277824;1.596756744;0.992970025;2.963795208;41.12317677;127.8;1;22.75;157.9833333
7.3957;7.633;3.448393255;34.526;27.33587923;45.1745632;1205.076;-0.361;2356.446;2386.837;277.9473527;1.442483835;0.927019481;1.496785526;0.9675872;-999;-999;-999;1;22.75;157.9833333
-999;-999;3.867972143;34.496;27.27059255;45.07017379;1002.02;-999;-999;-999;278.7482578;-999;-999;-999;-999;-999;-999;-999;1;22.75;157.9833333
7.3854;7.623;3.935585371;34.489;27.25816851;45.05105765;1000.312;-0.29;2350.776;2375.549;279.1755816;1.403242199;0.945604852;1.437906466;0.972635721;3.083251006;43.76476972;108.01;1;22.75;157.9833333
7.3559;7.5874;4.6527896;34.371;27.08870747;44.81628532;801.211;-0.421;2331.728;2350.246;283.0467326;1.299974512;0.913115362;1.366943231;0.967401554;-999;-999;-999;1;22.75;157.9833333
7.5895;7.7019;1.058995581;34.695;27.66614291;45.67561224;5612.4;0.248;2347.89;2424.62;206.0589593;2.218522603;0.567275026;2.007628852;0.504577412;2.301945515;33.19839791;144.82;2;27.75;155.25
7.5876;7.7001;1.059766767;34.695;27.66609122;45.67670595;5563.94;0.249;2349.75;2426.84;206.0041391;2.211792045;0.570902237;2.013256598;0.51129608;2.143747296;31.05656579;144.82;2;27.75;155.25
