ID,EXPOCODE,SECT_ID,stnnbr,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,lat,lon,bottomdepth,CTDPRS,CTDTMP,practical_salinity,CTDSAL_FLAG_W,SAL,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,oxygen,OXYGEN_FLAG_W,silicate,SILCAT_FLAG_W,nitrate,NITRAT_FLAG_W,nitrite,NITRIT_FLAG_W,phosphate,PHSPHT_FLAG_W,CFC11,CFC11_FLAG_W,CFC12,CFC12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,alk,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,D13C,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,DOC,DOC_FLAG_W,N2O,N2O_FLAG_W,ARGON,ARGON_FLAG_W,BTL_DATE,BTL_TIME,SBE35,SBE35_FLAG_W,SALTREF,SALTREF_FLAG_W,DELHE3,DELHE3_FLAG_W,DELHER,HELIER,NEONER,ARGONER,KRYPTON,KRYPTON_FLAG_W,KRYPTONER,XENON,XENON_FLAG_W,XENONER,CDOC,CDOC_FLAG_W,CDOCERR,CDOC1,CDOC_FLAG_W1,CDOCERR1,potential_temp,sigma0,depth
17,33RO20150525,P16N.2,113,1,7,7,2,20150527,702,22.4993,-152.001,5341,442.9,7.4816,34.1331,2,-999,9,86.9,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,20150527,717,7.4862,2,-999,9,-999,9,-999,-999,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,7.438357504,26.67483637,439.5040163
18,33RO20150525,P16N.2,113,1,8,8,2,20150527,702,22.4993,-152.001,5341,443.3,7.4958,34.1338,2,-999,9,87,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,20150527,718,7.4965,2,-999,9,-999,9,-999,-999,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,7.452469475,26.67337981,439.9005573
19,33RO20150525,P16N.2,113,1,5,5,2,20150527,702,22.4993,-152.001,5341,600,5.1805,34.2173,2,-999,9,30.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,20150527,713,5.1806,2,-999,9,-999,9,-999,-999,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,5.131695907,27.03963431,595.1911204
20,33RO20150525,P16N.2,113,1,6,6,2,20150527,702,22.4993,-152.001,5341,599.7,5.1808,34.2174,2,-999,9,30.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,20150527,713,5.1803,2,-999,9,-999,9,-999,-999,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,5.132020133,27.03967587,594.8939224
21,33RO20150525,P16N.2,113,1,3,3,2,20150527,702,22.4993,-152.001,5341,750.1,4.6424,34.3962,2,-999,9,29.7,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,20150527,709,4.6425,2,-999,9,-999,9,-999,-999,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,4.583453994,27.2436324,743.8392751
22,33RO20150525,P16N.2,113,1,4,4,2,20150527,702,22.4993,-152.001,5341,750.2,4.6422,34.3961,2,-999,9,29.7,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,20150527,709,4.6422,2,-999,9,-999,9,-999,-999,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,4.583246863,27.24357584,743.9382746
23,33RO20150525,P16N.2,113,1,1,1,2,20150527,702,22.4993,-152.001,5341,897.9,4.2572,34.4727,2,-999,9,36.6,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,20150527,704,4.2587,2,-999,9,-999,9,-999,-999,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,4.188208005,27.3471046,890.1123711
24,33RO20150525,P16N.2,113,1,2,2,2,20150527,702,22.4993,-152.001,5341,898,4.2592,34.4724,2,-999,9,36.6,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,20150527,704,4.2628,2,-999,9,-999,9,-999,-999,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,4.190186251,27.34665684,890.2113053
34,33RO20150525,P16N.2,113,2,15,15,2,20150527,1031,22.4993,-152.001,5341,499.6,6.3956,34.0967,2,34.0972,2,68.5,2,68.4,2,59.67,2,35.16,2,0,2,2.56,2,1.431,2,0.697,2,0.248,2,2261.6,2,2290.8,2,7.3945,6,25.03,-999,9,-999,-999,9,-999,9,-999,9,-999,-999,9,44.7,2,35.49,2,-999,9,20150527,1222,6.3913,2,34.258,2,-999,9,-999,-999,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,6.350763725,26.79415357,495.7066595
35,33RO20150525,P16N.2,113,2,14,14,2,20150527,1031,22.4993,-152.001,5341,650,5.0947,34.2591,2,34.2604,2,27,2,27.1,2,85.35,2,41.11,2,0,2,2.97,2,0.217,2,0.109,2,0.066,2,2319.3,2,2325.8,2,7.3228,2,25.02,-999,9,-999,-999,9,-999,9,-999,9,-999,-999,9,39.6,2,45.34,2,-999,9,20150527,1218,5.0908,2,34.4219,2,-999,9,-999,-999,-999,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,5.041977562,27.08315113,644.7185554
